,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,30.423490285873413,,,,,,,,,,,,,,,,,,,,,,,136.0,150.0,150.0,20400.0,30.0
1,,,,,,"(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41:b'\x1e\x16jM\xf3d\x8d@\xb4Y\xf5\xb9\x1a\x80\x8d@8\xe0\xf3\xc3H\x9e\x8d@?:u\xe5\xf3\xb4\x8d@\xe4\xfcM(D\xca\x8d@[\xb6\xd6\x17\xc9\xcf\x8d@}?5^z\xcb\x8d@\xbfeN\x97\x85\xd6\x8d@\xaf\xac4)\x85\xf9\x8d@\x9f\xe5yp7&\x8e@|a2U0N\x8e@\xcd#\x7f00k\x8e@\x14\x96x@Yf\x8e@\x16jM\xf3\x8e""\x8e@\xff>\xe3\xc2\x81\x9c\x8d@\x97\xe7\xc1\xddY\xeb\x8c@;\x88\x9d)4/\x8c@\x1d \x98\xa3\x87f\x8b@z\xc7):\xd2\xad\x8a@\xf7\x01Hm""\x14\x8a@\x02eS\xaep\xac\x89@3\xa7\xcbbbz\x89@\x8f\xdf\xdb\xf4\'r\x89@\xd1\\\xa7\x91\x96\x8a\x89@;k\xb7]\xa8\xb1\x89@tF\x94\xf6\xc6\xca\x89@\xb7\x0b\xcdu\xda\xcf\x89@}\xb3\xcd\x8d\xa9\xdb\x89@{\x83/L\xe6\xe7\x89@\xd0a\xbe\xbc\x80\xef\x89@)Wx\x97\x0b\xf4\x89@\xb3A&\x19\xf9\xf9\x89@\xf2\xea\x1c\x032\x03\x8a@\x91\x9b\xe1\x06<\r\x8a@\xa4k&\xdf\xac\x19\x8a@\x12\xdf\x89Yo%\x8a@\xc2\x86\xa7W\x8a/\x8a@\xf7\x8d\xaf=\xf39\x8a@d\xd1tv2A\x8a@\x99G\xfe``H\x8a@\xae\xf0.\x17qN\x8a@'",41.0,10.109933137893677,18.231266021728516,15.649294137954712,0.3448469638824463,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.029894265001311225,0.0,,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.029894265001311225,(3da9c2a9-0ed4-4f1a-ad4c-bf374eb93eff)_(2): (97:99)len=3,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,,,,,,,
3,,,,,,"[0.58517165 0.58507631 0.58513857 0.58524464 0.58547149 0.58570425
 0.58597182 0.58637014 0.58692162 0.58769607 0.58868644 0.58988728
 0.59104023 0.59237459 0.59356786 0.59450778 0.59533363 0.59623404
 0.59693838 0.59767779 0.59853463 0.59945822 0.60033989 0.60104933
 0.60167395 0.60214177 0.60260749 0.60298917 0.60351482 0.60395201
 0.60424821 0.60450156 0.60456744 0.6045513  0.60444985 0.60426737
 0.60400332 0.60376712 0.60348262 0.60303266 0.60258465]:b""=Bx\xe6\xb9\xb9\xe2?\xbd\xa0^\xf6\xf1\xb8\xe2?#\xf3\x91\x84t\xb9\xe2?:\\\x1e\xf7R\xba\xe2?YR\xe6\xb3.\xbc\xe2?\xd1\xc4j\xd5\x16\xbe\xe2?\x9cm\xdd\xfbG\xc0\xe2?n\x911O\x8b\xc3\xe2?q\xcf\x0c\xdc\x0f\xc8\xe2?\xde\xbe\xa5\xfdg\xce\xe2?o\xa6\xa0\xf1\x84\xd6\xe2?\xdf\x8b\xd4K[\xe0\xe2?\x84\xdf\xb11\xcd\xe9\xe2?\xdaN\xc1\x90\xbb\xf4\xe2?\xa5\xe3X\x07\x82\xfe\xe2?\xc4l\x8f-5\x06\xe3?\xe5\xc5\xa2\x1b\xf9\x0c\xe3?M\xf3\x84gY\x14\xe3?\xa0\xf1(\x82\x1e\x1a\xe3?\x98o\xd6-- \xe3?\xe7\xcap\x182'\xe3?\xf8i6\x03\xc3.\xe3?&\x04\x05\xfe\xfb5\xe3?\xc5\x9b\x84\xcb\xcb;\xe3?V\x1e`\xba\xe9@\xe3?\xf8\x88@\xcf\xbeD\xe3?\x08\xa9F\x83\x8fH\xe3?\xec\x88k\xef\xafK\xe3?\x9an>R\xfeO\xe3?\xc2<\xef,\x93S\xe3?\x1eO\xe9Y\x00V\xe3?jX\xc5\xa5\x13X\xe3?4\xa6\xe7\xcf\x9dX\xe3?-\xf0\xe4\xf7{X\xe3?\x90\x99\x966\xa7W\xe3?;Vr\x88(V\xe3?q\x8c\xb2\xc7\xfeS\xe3?\x9fR\xadm\x0fR\xe3?z\x15a\xc6\xbaO\xe3?\xbaE\x06(\x0bL\xe3?\xf8\x95+\x99_H\xe3?""",41.0,13.602351665496826,18.259235382080078,16.342358589172363,0.3979005813598633,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.0005040952945468491,0.004901634981323245,0.0008994345653072949,,0.0003791813555224469,(d0e6e660-7c69-4ee1-ab5e-4bcf15ed6269)_(2): (100:112)len=13,0.000883276650069296,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (23:34)len=12,0.005280816336845692,(14296c07-f26b-4776-a13e-4de2e0c53cb8)_(2): (34:36)len=3,0.0012786159208297418,(94340a03-3f07-4814-a1d6-3f78e3e9de99)_(2): (65:104)len=40,,,,,,,
5,,,,,,"(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27:b'\x1e\x16jM\xf3d\x8d@\xb4Y\xf5\xb9\x1a\x80\x8d@8\xe0\xf3\xc3H\x9e\x8d@?:u\xe5\xf3\xb4\x8d@\xe4\xfcM(D\xca\x8d@[\xb6\xd6\x17\xc9\xcf\x8d@}?5^z\xcb\x8d@\xbfeN\x97\x85\xd6\x8d@\xaf\xac4)\x85\xf9\x8d@\x9f\xe5yp7&\x8e@|a2U0N\x8e@\xcd#\x7f00k\x8e@\x14\x96x@Yf\x8e@\x16jM\xf3\x8e""\x8e@\xff>\xe3\xc2\x81\x9c\x8d@\x97\xe7\xc1\xddY\xeb\x8c@;\x88\x9d)4/\x8c@\x1d \x98\xa3\x87f\x8b@z\xc7):\xd2\xad\x8a@\xf7\x01Hm""\x14\x8a@\x02eS\xaep\xac\x89@3\xa7\xcbbbz\x89@\x8f\xdf\xdb\xf4\'r\x89@\xd1\\\xa7\x91\x96\x8a\x89@;k\xb7]\xa8\xb1\x89@tF\x94\xf6\xc6\xca\x89@\xb7\x0b\xcdu\xda\xcf\x89@'",27.0,9.43912386894226,18.08744215965271,21.354763746261597,0.33501434326171875,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.0389741557856053,0.0,,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0389741557856053,(a8e56e0c-20de-435d-a031-d750c40db9b4)_(2): (101:103)len=3,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,,,,,,,
7,,,,,,"[0.58517165 0.58507631 0.58513857 0.58524464 0.58547149 0.58570425
 0.58597182 0.58637014 0.58692162 0.58769607 0.58868644 0.58988728
 0.59104023 0.59237459 0.59356786 0.59450778 0.59533363 0.59623404
 0.59693838 0.59767779 0.59853463 0.59945822 0.60033989 0.60104933
 0.60167395 0.60214177 0.60260749]:b""=Bx\xe6\xb9\xb9\xe2?\xbd\xa0^\xf6\xf1\xb8\xe2?#\xf3\x91\x84t\xb9\xe2?:\\\x1e\xf7R\xba\xe2?YR\xe6\xb3.\xbc\xe2?\xd1\xc4j\xd5\x16\xbe\xe2?\x9cm\xdd\xfbG\xc0\xe2?n\x911O\x8b\xc3\xe2?q\xcf\x0c\xdc\x0f\xc8\xe2?\xde\xbe\xa5\xfdg\xce\xe2?o\xa6\xa0\xf1\x84\xd6\xe2?\xdf\x8b\xd4K[\xe0\xe2?\x84\xdf\xb11\xcd\xe9\xe2?\xdaN\xc1\x90\xbb\xf4\xe2?\xa5\xe3X\x07\x82\xfe\xe2?\xc4l\x8f-5\x06\xe3?\xe5\xc5\xa2\x1b\xf9\x0c\xe3?M\xf3\x84gY\x14\xe3?\xa0\xf1(\x82\x1e\x1a\xe3?\x98o\xd6-- \xe3?\xe7\xcap\x182'\xe3?\xf8i6\x03\xc3.\xe3?&\x04\x05\xfe\xfb5\xe3?\xc5\x9b\x84\xcb\xcb;\xe3?V\x1e`\xba\xe9@\xe3?\xf8\x88@\xcf\xbeD\xe3?\x08\xa9F\x83\x8fH\xe3?""",27.0,9.330347061157227,20.40714931488037,24.356485605239868,0.3500187397003174,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.00024196873015796156,0.006276611511678777,0.0001074917947844071,,0.00041814432730500223,(d0e6e660-7c69-4ee1-ab5e-4bcf15ed6269)_(2): (100:110)len=11,0.0006601130574629638,(680ac07a-2a93-4d62-ac83-5dc0d9441fa5)_(2): (91:102)len=12,0.006694755838983779,(d0e6e660-7c69-4ee1-ab5e-4bcf15ed6269)_(2): (99:101)len=3,0.0005256361220894093,(94340a03-3f07-4814-a1d6-3f78e3e9de99)_(2): (66:93)len=28,,,,,,,
9,,,,,,"(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27:b'\x1e\x16jM\xf3d\x8d@\xb4Y\xf5\xb9\x1a\x80\x8d@8\xe0\xf3\xc3H\x9e\x8d@?:u\xe5\xf3\xb4\x8d@\xe4\xfcM(D\xca\x8d@[\xb6\xd6\x17\xc9\xcf\x8d@}?5^z\xcb\x8d@\xbfeN\x97\x85\xd6\x8d@\xaf\xac4)\x85\xf9\x8d@\x9f\xe5yp7&\x8e@|a2U0N\x8e@\xcd#\x7f00k\x8e@\x14\x96x@Yf\x8e@\x16jM\xf3\x8e""\x8e@\xff>\xe3\xc2\x81\x9c\x8d@\x97\xe7\xc1\xddY\xeb\x8c@;\x88\x9d)4/\x8c@\x1d \x98\xa3\x87f\x8b@z\xc7):\xd2\xad\x8a@\xf7\x01Hm""\x14\x8a@\x02eS\xaep\xac\x89@3\xa7\xcbbbz\x89@\x8f\xdf\xdb\xf4\'r\x89@\xd1\\\xa7\x91\x96\x8a\x89@;k\xb7]\xa8\xb1\x89@tF\x94\xf6\xc6\xca\x89@\xb7\x0b\xcdu\xda\xcf\x89@'",27.0,9.43912386894226,18.08744215965271,21.354763746261597,0.33501434326171875,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,0.0,0.0389741557856053,0.0,,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0389741557856053,(a8e56e0c-20de-435d-a031-d750c40db9b4)_(2): (101:103)len=3,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,,,,,,,
11,,,,,,"[0.58517165 0.58507631 0.58513857 0.58524464 0.58547149 0.58570425
 0.58597182 0.58637014 0.58692162 0.58769607 0.58868644 0.58988728
 0.59104023 0.59237459 0.59356786 0.59450778 0.59533363 0.59623404
 0.59693838 0.59767779 0.59853463 0.59945822 0.60033989 0.60104933
 0.60167395 0.60214177 0.60260749]:b""=Bx\xe6\xb9\xb9\xe2?\xbd\xa0^\xf6\xf1\xb8\xe2?#\xf3\x91\x84t\xb9\xe2?:\\\x1e\xf7R\xba\xe2?YR\xe6\xb3.\xbc\xe2?\xd1\xc4j\xd5\x16\xbe\xe2?\x9cm\xdd\xfbG\xc0\xe2?n\x911O\x8b\xc3\xe2?q\xcf\x0c\xdc\x0f\xc8\xe2?\xde\xbe\xa5\xfdg\xce\xe2?o\xa6\xa0\xf1\x84\xd6\xe2?\xdf\x8b\xd4K[\xe0\xe2?\x84\xdf\xb11\xcd\xe9\xe2?\xdaN\xc1\x90\xbb\xf4\xe2?\xa5\xe3X\x07\x82\xfe\xe2?\xc4l\x8f-5\x06\xe3?\xe5\xc5\xa2\x1b\xf9\x0c\xe3?M\xf3\x84gY\x14\xe3?\xa0\xf1(\x82\x1e\x1a\xe3?\x98o\xd6-- \xe3?\xe7\xcap\x182'\xe3?\xf8i6\x03\xc3.\xe3?&\x04\x05\xfe\xfb5\xe3?\xc5\x9b\x84\xcb\xcb;\xe3?V\x1e`\xba\xe9@\xe3?\xf8\x88@\xcf\xbeD\xe3?\x08\xa9F\x83\x8fH\xe3?""",27.0,9.330347061157227,20.40714931488037,24.356485605239868,0.3500187397003174,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,0.00024196873015796156,0.006276611511678777,0.0001074917947844071,,0.00041814432730500223,(d0e6e660-7c69-4ee1-ab5e-4bcf15ed6269)_(2): (100:110)len=11,0.0006601130574629638,(680ac07a-2a93-4d62-ac83-5dc0d9441fa5)_(2): (91:102)len=12,0.006694755838983779,(d0e6e660-7c69-4ee1-ab5e-4bcf15ed6269)_(2): (99:101)len=3,0.0005256361220894093,(94340a03-3f07-4814-a1d6-3f78e3e9de99)_(2): (66:93)len=28,,,,,,,
13,,,,,,"(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27:b'\x1e\x16jM\xf3d\x8d@\xb4Y\xf5\xb9\x1a\x80\x8d@8\xe0\xf3\xc3H\x9e\x8d@?:u\xe5\xf3\xb4\x8d@\xe4\xfcM(D\xca\x8d@[\xb6\xd6\x17\xc9\xcf\x8d@}?5^z\xcb\x8d@\xbfeN\x97\x85\xd6\x8d@\xaf\xac4)\x85\xf9\x8d@\x9f\xe5yp7&\x8e@|a2U0N\x8e@\xcd#\x7f00k\x8e@\x14\x96x@Yf\x8e@\x16jM\xf3\x8e""\x8e@\xff>\xe3\xc2\x81\x9c\x8d@\x97\xe7\xc1\xddY\xeb\x8c@;\x88\x9d)4/\x8c@\x1d \x98\xa3\x87f\x8b@z\xc7):\xd2\xad\x8a@\xf7\x01Hm""\x14\x8a@\x02eS\xaep\xac\x89@3\xa7\xcbbbz\x89@\x8f\xdf\xdb\xf4\'r\x89@\xd1\\\xa7\x91\x96\x8a\x89@;k\xb7]\xa8\xb1\x89@tF\x94\xf6\xc6\xca\x89@\xb7\x0b\xcdu\xda\xcf\x89@'",27.0,9.43912386894226,18.08744215965271,21.354763746261597,0.33501434326171875,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,0.0,0.0389741557856053,0.0,,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0389741557856053,(a8e56e0c-20de-435d-a031-d750c40db9b4)_(2): (101:103)len=3,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,,,,,,,
