,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,8.65262246131897,519.5021884441376,,,,,,,,,,,,,,,,,,,,,,30.0,128.0,128.0,3840.0,6.0
1,,,,,,"(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41:b'\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbf\x91\xed|?5^\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbfP\x8d\x97n\x12\x83\xf2\xbf\xbaI\x0c\x02+\x87\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbfffffff\xf2\xbf\x91\xed|?5^\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf'",41.0,3.2850182056427,0.3036637306213379,0.31436586380004883,0.30777955055236816,1.853553056716919,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:89)len=41,,,,,
3,,,,,,"[0.93745481 0.93817787 0.93890094 0.93998554 0.93962401 0.93926247
 0.94034707 0.9407086  0.93853941 0.93600868 0.93600868 0.93673174
 0.93709328 0.93781634 0.93745481 0.93709328 0.93709328 0.93673174
 0.93709328 0.93745481 0.93709328 0.93781634 0.93998554 0.94143167
 0.94143167 0.9407086  0.93926247 0.93673174 0.93383948 0.93311641
 0.93456255 0.93745481 0.93998554 0.9407086  0.93962401 0.93781634
 0.93853941 0.94034707 0.89154013 0.76138829 0.63232104]:b'\xbb\x14\xf09\xa1\xff\xed?\x05\xc9\xee\x9a\x8d\x05\xee?O}\xed\xfby\x0b\xee?\xc0\x8bk\x8d\\\x14\xee?\x9c1\xec\\f\x11\xee?v\xd7l,p\x0e\xee?\xe6\xe5\xea\xbdR\x17\xee?\x0b@j\xeeH\x1a\xee?,#n\xcb\x83\x08\xee?&\xac\xf2w\xc8\xf3\xed?&\xac\xf2w\xc8\xf3\xed?q`\xf1\xd8\xb4\xf9\xed?\x95\xbap\t\xab\xfc\xed?\xe0noj\x97\x02\xee?\xbb\x14\xf09\xa1\xff\xed?\x95\xbap\t\xab\xfc\xed?\x95\xbap\t\xab\xfc\xed?q`\xf1\xd8\xb4\xf9\xed?\x95\xbap\t\xab\xfc\xed?\xbb\x14\xf09\xa1\xff\xed?\x95\xbap\t\xab\xfc\xed?\xe0noj\x97\x02\xee?\xc0\x8bk\x8d\\\x14\xee?W\xf4hO5 \xee?W\xf4hO5 \xee?\x0b@j\xeeH\x1a\xee?v\xd7l,p\x0e\xee?q`\xf1\xd8\xb4\xf9\xed?F\x8f\xf6T\x03\xe2\xed?\xfa\xda\xf7\xf3\x16\xdc\xed?\x90C\xf5\xb5\xef\xe7\xed?\xbb\x14\xf09\xa1\xff\xed?\xc0\x8bk\x8d\\\x14\xee?\x0b@j\xeeH\x1a\xee?\x9c1\xec\\f\x11\xee?\xe0noj\x97\x02\xee?,#n\xcb\x83\x08\xee?\xe6\xe5\xea\xbdR\x17\xee?/\\\xc2*\x7f\x87\xec?\x99\x97\xab\xf7J]\xe8?u\xe1\x12V\xf9;\xe4?'",41.0,3.213953733444214,0.2931334972381592,0.3145711421966553,0.3172791004180908,1.0452237129211426,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,2.8236693588494966e-05,2.8236693588494966e-05,2.8236693588494966e-05,0.00017902653703696567,0.0008286255626861662,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (52:89)len=38,0.0008568622562746611,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (50:89)len=40,0.0008568622562746611,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (50:89)len=40,0.0008568622562746611,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (50:89)len=40,0.0010076520997231318,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (49:89)len=41,,,,,
5,,,,,,"(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:94)len=46:b'\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbf\x91\xed|?5^\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbfP\x8d\x97n\x12\x83\xf2\xbf\xbaI\x0c\x02+\x87\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbfffffff\xf2\xbf\x91\xed|?5^\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf\xfc\xa9\xf1\xd2Mb\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbf\xe8\xfb\xa9\xf1\xd2M\xf2\xbf\xd3Mb\x10X9\xf2\xbf)\\\x8f\xc2\xf5(\xf2\xbf'",46.0,3.155729055404663,0.30686116218566895,0.3054971694946289,0.3155059814453125,1.065763235092163,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:94)len=46,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:94)len=46,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:94)len=46,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:94)len=46,0.0,(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (49:94)len=46,,,,,
7,,,,,,"[0.93745481 0.93817787 0.93890094 0.93998554 0.93962401 0.93926247
 0.94034707 0.9407086  0.93853941 0.93600868 0.93600868 0.93673174
 0.93709328 0.93781634 0.93745481 0.93709328 0.93709328 0.93673174
 0.93709328 0.93745481 0.93709328 0.93781634 0.93998554 0.94143167
 0.94143167 0.9407086  0.93926247 0.93673174 0.93383948 0.93311641
 0.93456255 0.93745481 0.93998554 0.9407086  0.93962401 0.93781634
 0.93853941 0.94034707 0.89154013 0.76138829 0.63232104 0.56182213
 0.52892263 0.51854718 0.50906575 0.52122826]:b""\xbb\x14\xf09\xa1\xff\xed?\x05\xc9\xee\x9a\x8d\x05\xee?O}\xed\xfby\x0b\xee?\xc0\x8bk\x8d\\\x14\xee?\x9c1\xec\\f\x11\xee?v\xd7l,p\x0e\xee?\xe6\xe5\xea\xbdR\x17\xee?\x0b@j\xeeH\x1a\xee?,#n\xcb\x83\x08\xee?&\xac\xf2w\xc8\xf3\xed?&\xac\xf2w\xc8\xf3\xed?q`\xf1\xd8\xb4\xf9\xed?\x95\xbap\t\xab\xfc\xed?\xe0noj\x97\x02\xee?\xbb\x14\xf09\xa1\xff\xed?\x95\xbap\t\xab\xfc\xed?\x95\xbap\t\xab\xfc\xed?q`\xf1\xd8\xb4\xf9\xed?\x95\xbap\t\xab\xfc\xed?\xbb\x14\xf09\xa1\xff\xed?\x95\xbap\t\xab\xfc\xed?\xe0noj\x97\x02\xee?\xc0\x8bk\x8d\\\x14\xee?W\xf4hO5 \xee?W\xf4hO5 \xee?\x0b@j\xeeH\x1a\xee?v\xd7l,p\x0e\xee?q`\xf1\xd8\xb4\xf9\xed?F\x8f\xf6T\x03\xe2\xed?\xfa\xda\xf7\xf3\x16\xdc\xed?\x90C\xf5\xb5\xef\xe7\xed?\xbb\x14\xf09\xa1\xff\xed?\xc0\x8bk\x8d\\\x14\xee?\x0b@j\xeeH\x1a\xee?\x9c1\xec\\f\x11\xee?\xe0noj\x97\x02\xee?,#n\xcb\x83\x08\xee?\xe6\xe5\xea\xbdR\x17\xee?/\\\xc2*\x7f\x87\xec?\x99\x97\xab\xf7J]\xe8?u\xe1\x12V\xf9;\xe4?\xf96\x11er\xfa\xe1?\xaf+\xcc'\xef\xec\xe0?^\x98\x99C\xf0\x97\xe0?A{PCDJ\xe0?\x87+x\xe3\xe6\xad\xe0?""",46.0,3.270935535430908,0.3001289367675781,0.28814244270324707,0.3061985969543457,1.0695209503173828,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,2.7495452572887796e-06,2.7495452572887796e-06,2.7495452572887796e-06,2.7495452572887796e-06,0.0010347949676511256,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (52:97)len=46,0.0010320454223938368,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (52:97)len=46,0.0010320454223938368,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (52:97)len=46,0.0010320454223938368,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (52:97)len=46,0.0010320454223938368,(ec1b8ca1-f91e-4d4c-aff4-9b7889463e85)_(2): (52:97)len=46,,,,,
9,,,,,,"(a28defe3-9bf0-4273-a247-6f57a5e5a5ab)_(3): (24:111)len=88:b'JZ\xdd)\x9e,\xa2?Z\xb6\xf7%\xf2\x8f\x90?8\xf5]gEHd?\xd1\x8bY}\x15\xe3\xa2?T\x8a\x14@\xf5s\x81?\x8c\xf8yL\xd7%\xa5?\xf7\xce\xda\x00{k\x93?\x0c\xf0h\xd9\x16B\x91?\x8a\x83N\x7f+\x16\x95?\xa5\x7f\x98p\'\x92\xa1?\xecF\xa3+\xa6\x0c\xa1?\xdaMI\x06\x1b\xff\x9d?\xb1rh\x91\xed|\xbf\xbf\x18\x04V\x0e-\xb2\xdd\xbf\xecQ\xb8\x1e\x85\xeb\xe9\xbfj\xbct\x93\x18\x04\xf0\xbf\xc6K7\x89A`\xf1\xbf\xc1\xca\xa1E\xb6\xf3\xf1\xbfh\x91\xed|?5\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbf\xfc\xa9\xf1\xd2Mb\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbf\x91\xed|?5^\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbfP\x8d\x97n\x12\x83\xf2\xbf\xbaI\x0c\x02+\x87\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xa6\x9b\xc4 \xb0r\xf2\xbfffffff\xf2\xbf\x91\xed|?5^\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf\x11X9\xb4\xc8v\xf2\xbf\xe5\xd0""\xdb\xf9~\xf2\xbf{\x14\xaeG\xe1z\xf2\xbf\xd1""\xdb\xf9~j\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbf}?5^\xbaI\xf2\xbfR\xb8\x1e\x85\xebQ\xf2\xbfffffff\xf2\xbf<\xdfO\x8d\x97n\xf2\xbf\xfc\xa9\xf1\xd2Mb\xf2\xbf\'1\x08\xac\x1cZ\xf2\xbf\xe8\xfb\xa9\xf1\xd2M\xf2\xbf\xd3Mb\x10X9\xf2\xbf)\\\x8f\xc2\xf5(\xf2\xbf\x93\x18\x04V\x0e-\xf2\xbf\xa8\xc6K7\x89A\xf2\xbf\xbct\x93\x18\x04V\xf2\xbf\xfc\xa9\xf1\xd2Mb\xf2\xbfffffff\xf2\xbf\xfc\xa9\xf1\xd2Mb\xf2\xbfR\xb8\x1e\x85\xebQ\xf0\xbf\xee|?5^\xba\xe5\xbf\xc5 \xb0rh\x91\xd5\xbf\xdfO\x8d\x97n\x12\xc3\xbf\xfc\xa9\xf1\xd2Mb\xb0\xbf\xdb\xd1y9^\x14\x98\xbf\\Bpk:\x9ae?J\x0c\x02+\x87\x16\xb9?Nb\x10X9\xb4\xd8?\x1b/\xdd$\x06\x81\xe5?:\xb4\xc8v\xbe\x9f\xea?'",88.0,3.7410850524902344,0.34067654609680176,0.2868521213531494,0.3205428123474121,1.1045825481414795,,,,,,,,,,,,,,,,,,,
