,k,paa_preprocess_time,sax_preprocess_time,bx_preprocess_time,gx_preprocess_time,query,query_len,bf_query_time,paa_query_time,sax_query_time,bx_query_time,gx_query_time,dist_diff_btw_paa_bf,dist_diff_btw_sax_bf,dist_diff_btw_bx_bf,dist_diff_btw_gx_bf,bf_dist,bf_match,paa_dist,paa_match,sax_dist,sax_match,bx_dist,bx_match,gx_dist,gx_match,num_rows,num_cols_max,num_cols_median,data_size,num_query
0,1.0,,,633.0047075748444,158994.08785271645,,,,,,,,,,,,,,,,,,,,,,180.0,144.0,144.0,25920.0,36.0
1,,,,,,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41:b'\x9a\x99\x99\x99\x99\x99\xc9?{\x14\xaeG\xe1z\xc4?333333\xc3?\x9a\x99\x99\x99\x99\x99\xc9?\xe1z\x14\xaeG\xe1\xca?R\xb8\x1e\x85\xebQ\xc8?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?q=\n\xd7\xa3p\xcd?\n\xd7\xa3p=\n\xc7?\xc3\xf5(\\\x8f\xc2\xc5?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?\x8f\xc2\xf5(\\\x8f\xd2?{\x14\xaeG\xe1z\x02@R\xb8\x1e\x85\xebQ\x11@H\xe1z\x14\xaeG\x0b@\x00\x00\x00\x00\x00\x00\x04@\xa4p=\n\xd7\xa3\x06@\xd7\xa3p=\n\xd7\x03@\xf6(\\\x8f\xc2\xf5\x00@333333\x03@\x85\xebQ\xb8\x1e\x85\x05@333333\xfb?\n\xd7\xa3p=\n\xe7?\xe1z\x14\xaeG\xe1\xf2?ffffff\xfa?ffffff\xfa?=\n\xd7\xa3p=\xfe?=\n\xd7\xa3p=\xfe?\xf6(\\\x8f\xc2\xf5\x00@\xcd\xcc\xcc\xcc\xcc\xcc\x02@H\xe1z\x14\xaeG\xfd?\xf6(\\\x8f\xc2\xf5\xf4?H\xe1z\x14\xaeG\x03@\x14\xaeG\xe1z\x14\x0c@\x14\xaeG\xe1z\x14\x0c@H\xe1z\x14\xaeG\x07@H\xe1z\x14\xaeG\x07@\xaeG\xe1z\x14\xae\x07@)\\\x8f\xc2\xf5(\x08@',41.0,27.579159259796143,1.064887285232544,1.0891242027282715,1.0757265090942383,14.483256578445435,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:137)len=41,,,,,
3,,,,,,"[0.18814433 0.17912371 0.18943299 0.19845361 0.25257732 0.30541237
 0.30541237 0.45618557 0.45618557 0.51804124 0.57989691 0.55025773
 0.54768041 0.54639175 0.52963918 0.57087629 0.61082474 0.46391753
 0.31829897 0.29896907 0.32989691 0.3621134  0.42139175 0.42139175
 0.42268041 0.42654639 0.43041237 0.51159794 0.59278351 0.58505155
 0.57731959 0.59407216 0.61082474 0.64304124 0.625      0.60695876
 0.52835052 0.45103093 0.41237113 0.37371134 0.35180412]:b'\xf8\xe2\xea\x07\x1d\x15\xc8?gy\x12\x99\x86\xed\xc6?\xe8\xa8\xc0\x17W?\xc8?z\x12\x99\x86\xedf\xc9?\xf0\xc5\xd5\x0f:*\xd0?\xac\x1ftT\xe0\x8b\xd3?\xac\x1ftT\xe0\x8b\xd3?\x0e\xdb\xcd\xf2$2\xdd?\x0e\xdb\xcd\xf2$2\xdd?\xc84l7\xcb\x93\xe0?\x0b|q\xf5\x83\x8e\xe2?\xe5Id\x1a\xb6\x9b\xe1?\xeefy\x12\x99\x86\xe1?r\xf5\x83\x8e\n|\xe1?%2\r\xdb\xcd\xf2\xe0?\xa6a\xbbY\x9eD\xe2?\xac\x1ftT\xe0\x8b\xe3?\xde,O""\xd3\xb0\xdd?\\\xfd\xa0\xa3\x02_\xd4?\xd3\xb0\xdd,O""\xd3?\x15\xf8\xe2\xea\x07\x1d\xd5?O""\xd3\xb0\xdd,\xd7?\xe3\xea\x07\x1d\x15\xf8\xda?\xe3\xea\x07\x1d\x15\xf8\xda?\xdb\xcd\xf2$2\r\xdb?\xc4v\xb3<\x89L\xdb?\xab\x1ftT\xe0\x8b\xdb?\\\xfd\xa0\xa3\x02_\xe0?\xe3\xea\x07\x1d\x15\xf8\xe2?\xfbAG\x05\xbe\xb8\xe2?\x12\x99\x86\xedfy\xe2?`\\\xfd\xa0\xa3\x02\xe3?\xac\x1ftT\xe0\x8b\xe3?\xc94l7\xcb\x93\xe4?\x00\x00\x00\x00\x00\x00\xe4?8\xcb\x93\xc84l\xe3?\xa9\xc0\x17W?\xe8\xe0?-O""\xd3\xb0\xdd\xdc?\x1b\xb6\x9b\xe5Id\xda?\x08\x1d\x15\xf8\xe2\xea\xd7?\x8f\n|q\xf5\x83\xd6?'",41.0,26.49504566192627,1.0662896633148193,1.0788893699645996,1.062859058380127,8.353528261184692,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:137)len=41,,,,,
5,,,,,,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27:b'\x9a\x99\x99\x99\x99\x99\xc9?{\x14\xaeG\xe1z\xc4?333333\xc3?\x9a\x99\x99\x99\x99\x99\xc9?\xe1z\x14\xaeG\xe1\xca?R\xb8\x1e\x85\xebQ\xc8?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?q=\n\xd7\xa3p\xcd?\n\xd7\xa3p=\n\xc7?\xc3\xf5(\\\x8f\xc2\xc5?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?\x8f\xc2\xf5(\\\x8f\xd2?{\x14\xaeG\xe1z\x02@R\xb8\x1e\x85\xebQ\x11@H\xe1z\x14\xaeG\x0b@\x00\x00\x00\x00\x00\x00\x04@\xa4p=\n\xd7\xa3\x06@\xd7\xa3p=\n\xd7\x03@\xf6(\\\x8f\xc2\xf5\x00@333333\x03@\x85\xebQ\xb8\x1e\x85\x05@333333\xfb?\n\xd7\xa3p=\n\xe7?\xe1z\x14\xaeG\xe1\xf2?ffffff\xfa?',27.0,25.474881649017334,0.9878041744232178,1.0129318237304688,1.0257465839385986,8.161644458770752,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,0.0,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27,,,,,
7,,,,,,"[0.18814433 0.17912371 0.18943299 0.19845361 0.25257732 0.30541237
 0.30541237 0.45618557 0.45618557 0.51804124 0.57989691 0.55025773
 0.54768041 0.54639175 0.52963918 0.57087629 0.61082474 0.46391753
 0.31829897 0.29896907 0.32989691 0.3621134  0.42139175 0.42139175
 0.42268041 0.42654639 0.43041237]:b'\xf8\xe2\xea\x07\x1d\x15\xc8?gy\x12\x99\x86\xed\xc6?\xe8\xa8\xc0\x17W?\xc8?z\x12\x99\x86\xedf\xc9?\xf0\xc5\xd5\x0f:*\xd0?\xac\x1ftT\xe0\x8b\xd3?\xac\x1ftT\xe0\x8b\xd3?\x0e\xdb\xcd\xf2$2\xdd?\x0e\xdb\xcd\xf2$2\xdd?\xc84l7\xcb\x93\xe0?\x0b|q\xf5\x83\x8e\xe2?\xe5Id\x1a\xb6\x9b\xe1?\xeefy\x12\x99\x86\xe1?r\xf5\x83\x8e\n|\xe1?%2\r\xdb\xcd\xf2\xe0?\xa6a\xbbY\x9eD\xe2?\xac\x1ftT\xe0\x8b\xe3?\xde,O""\xd3\xb0\xdd?\\\xfd\xa0\xa3\x02_\xd4?\xd3\xb0\xdd,O""\xd3?\x15\xf8\xe2\xea\x07\x1d\xd5?O""\xd3\xb0\xdd,\xd7?\xe3\xea\x07\x1d\x15\xf8\xda?\xe3\xea\x07\x1d\x15\xf8\xda?\xdb\xcd\xf2$2\r\xdb?\xc4v\xb3<\x89L\xdb?\xab\x1ftT\xe0\x8b\xdb?'",27.0,25.967280387878418,0.9998805522918701,0.9873380661010742,1.0213375091552734,8.143721580505371,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:123)len=27,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:123)len=27,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:123)len=27,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:123)len=27,0.0,(39118497-3a43-42ba-af0f-06cbcb9bc326)_(2): (97:123)len=27,,,,,
9,,,,,,(a6f2f7b8-0cf3-4b58-a910-8be58ce21ea3)_(2): (97:123)len=27:b'\x9a\x99\x99\x99\x99\x99\xc9?{\x14\xaeG\xe1z\xc4?333333\xc3?\x9a\x99\x99\x99\x99\x99\xc9?\xe1z\x14\xaeG\xe1\xca?R\xb8\x1e\x85\xebQ\xc8?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?q=\n\xd7\xa3p\xcd?\n\xd7\xa3p=\n\xc7?\xc3\xf5(\\\x8f\xc2\xc5?)\\\x8f\xc2\xf5(\xcc?\xa4p=\n\xd7\xa3\xd0?\x8f\xc2\xf5(\\\x8f\xd2?{\x14\xaeG\xe1z\x02@R\xb8\x1e\x85\xebQ\x11@H\xe1z\x14\xaeG\x0b@\x00\x00\x00\x00\x00\x00\x04@\xa4p=\n\xd7\xa3\x06@\xd7\xa3p=\n\xd7\x03@\xf6(\\\x8f\xc2\xf5\x00@333333\x03@\x85\xebQ\xb8\x1e\x85\x05@333333\xfb?\n\xd7\xa3p=\n\xe7?\xe1z\x14\xaeG\xe1\xf2?ffffff\xfa?',27.0,25.474881649017334,0.9878041744232178,1.0129318237304688,1.0257465839385986,8.161644458770752,,,,,,,,,,,,,,,,,,,
